id,postcode,woonplaats,alternatieve_schrijfwijzen,gemeente,provincie,netnummer,latitude,longitude,soort
1,1000,Amsterdam,,Amsterdam,Noord-Holland,20,52.3362429,4.8694444,Postbus
89,1100,Amsterdam-Zuidoost,Amsterdam Zuidoost,Amsterdam,Noord-Holland,20,52.3768632,4.8200283,Postbus
99,1110,Diemen,,Diemen,Noord-Holland,20,52.3331508,4.9551377,Postbus
103,1115,Duivendrecht,,Ouder-Amstel,Noord-Holland,20,52.332886,4.9412022,Adres + Postbus
104,1117,Schiphol,,Haarlemmermeer,Noord-Holland,20,52.3052778,4.7992528,Adres + Postbus
105,1118,Luchthaven Schiphol,LUCHTH SCHIPHOL,Haarlemmermeer,Noord-Holland,20,52.3105386,4.7682744,Adres + Postbus
106,1119,Schiphol-Rijk,SCHIPHOL RYK,Haarlemmermeer,Noord-Holland,20,52.279722,4.753889,Adres
107,1120,Landsmeer,,Landsmeer,Noord-Holland,20,52.4324284,4.9150708,Postbus
109,1127,Den Ilp,,Landsmeer,Noord-Holland,20,52.454533,4.9073219,Adres
110,1130,Volendam,,Edam-Volendam,Noord-Holland,299,52.5180914,5.0024565,Postbus
113,1135,Edam,,Edam-Volendam,Noord-Holland,299,52.5126367,5.0491819,Adres + Postbus
114,1140,Monnickendam,,Waterland,Noord-Holland,299,52.4650634,4.954089,Postbus
116,1145,Katwoude,,Waterland,Noord-Holland,299,52.4694862,5.0471278,Adres
117,1150,Broek in Waterland,,Waterland,Noord-Holland,20,52.4144806,5.0219082,Postbus
119,1153,Zuiderwoude,,Waterland,Noord-Holland,20,52.4321039,5.033652,Adres
120,1154,Uitdam,,Waterland,Noord-Holland,20,52.4210268,5.0724962,Adres
121,1156,Marken,,Waterland,Noord-Holland,299,52.4589926,5.1032057,Adres
122,1160,Zwanenburg,,Haarlemmermeer,Noord-Holland,20,52.0370724,5.0887879,Postbus
124,1165,Halfweg,,Haarlemmerliede en Spaarnwoude,Noord-Holland,20,52.3819918,4.7538293,Adres
125,1170,Badhoevedorp,,Haarlemmermeer,Noord-Holland,20,52.337248,4.7798711,Postbus
127,1175,Lijnden,LYNDEN,Haarlemmermeer,Noord-Holland,23,52.3538766,4.7544953,Adres
128,1180,Amstelveen,,Amstelveen,Noord-Holland,20,52.3020525,4.8448473,Postbus
138,1190,Ouderkerk aan de Amstel,OUDERKERK AMSTEL,Ouder-Amstel,Noord-Holland,20,52.2954563,4.9023305,Postbus
140,1200,Hilversum,,Hilversum,Noord-Holland,35,52.2292024,5.1693338,Postbus
154,1230,Loosdrecht,,Wijdemeren,Noord-Holland,35,52.20618,5.06697,Postbus
156,1240,Kortenhoef,,Wijdemeren,Noord-Holland,35,52.2397632,5.1132094,Postbus
158,1243,'s-Graveland,S GRAVELAND,Wijdemeren,Noord-Holland,35,52.244167,5.121111,Adres + Postbus
159,1244,Ankeveen,,Wijdemeren,Noord-Holland,35,52.2642195,5.098253,Adres
160,1250,Laren,,Laren,Noord-Holland,35,52.255712,5.2293702,Postbus
163,1260,Blaricum,,Blaricum,Noord-Holland,35,52.2857057,5.2697832,Adres + Postbus
165,1270,Huizen,,Huizen,Noord-Holland,35,52.2974955,5.2351132,Postbus
173,1300,Almere,,Almere,Flevoland,36,52.3481373,5.2474067,Postbus
